symbol,yesterday_price,yesterday_date
MRNA,172.74000549316406,2022-02-01
LVS,44.650001525878906,2022-02-01
NUE,107.45999908447266,2022-02-01
F,20.65999984741211,2022-02-01
CTRA,22.190000534057617,2022-02-01
KR,44.130001068115234,2022-02-01
ONL,16.940000534057617,2022-02-01
WYNN,88.19000244140625,2022-02-01
LYB,99.52999877929688,2022-02-01
GM,54.06999969482422,2022-02-01
AIG,59.11000061035156,2022-02-01
PSX,87.66000366210938,2022-02-01
TAP,48.2400016784668,2022-02-01
BWA,44.709999084472656,2022-02-01
COP,91.54000091552734,2022-02-01
FANG,130.2100067138672,2022-02-01
PBCT,19.65999984741211,2022-02-01
DVA,109.0999984741211,2022-02-01
WFC,55.599998474121094,2022-02-01
HII,185.52000427246094,2022-02-01
OXY,39.290000915527344,2022-02-01
WRK,46.31999969482422,2022-02-01
NOC,370.5799865722656,2022-02-01
GLW,42.16999816894531,2022-02-01
TRV,167.99000549316406,2022-02-01
PCAR,95.33000183105469,2022-02-01
WRB,85.79000091552734,2022-02-01
STT,96.51000213623047,2022-02-01
UHS,130.4600067138672,2022-02-01
DRI,139.8800048828125,2022-02-01
HPE,16.809999465942383,2022-02-01
MTB,172.85000610351562,2022-02-01
CSCO,55.369998931884766,2022-02-01
RE,284.5299987792969,2022-02-01
DOW,61.810001373291016,2022-02-01
MS,103.94999694824219,2022-02-01
AIZ,151.25,2022-02-01
USB,59.27000045776367,2022-02-01
TFC,64.0199966430664,2022-02-01
PNC,209.74000549316406,2022-02-01
RL,113.51000213623047,2022-02-01
MPC,74.0199966430664,2022-02-01
T,24.420000076293945,2022-02-01
MRO,20.649999618530273,2022-02-01
PXD,224.22000122070312,2022-02-01
VLO,86.55000305175781,2022-02-01
GS,364.05999755859375,2022-02-01
MET,68.08999633789062,2022-02-01
WU,19.260000228881836,2022-02-01
SCHW,90.05999755859375,2022-02-01
MHK,158.61000061035156,2022-02-01
FDX,252.0,2022-02-01
NTRS,119.01000213623047,2022-02-01
CAG,34.970001220703125,2022-02-01
JPM,151.14999389648438,2022-02-01
WY,40.630001068115234,2022-02-01
GWW,494.9800109863281,2022-02-01
LUMN,12.579999923706055,2022-02-01
MKTX,350.7200012207031,2022-02-01
PFG,74.18000030517578,2022-02-01
HES,93.5,2022-02-01
TSN,91.05999755859375,2022-02-01
BK,60.689998626708984,2022-02-01
PVH,97.04000091552734,2022-02-01
APA,34.709999084472656,2022-02-01
PGR,108.0999984741211,2022-02-01
LNT,58.65999984741211,2022-02-01
L,60.58000183105469,2022-02-01
GILD,68.47000122070312,2022-02-01
LUV,45.18000030517578,2022-02-01
DUK,103.44999694824219,2022-02-01
LEG,40.099998474121094,2022-02-01
IP,48.04999923706055,2022-02-01
XEL,68.48999786376953,2022-02-01
CMI,225.52999877929688,2022-02-01
AAL,16.829999923706055,2022-02-01
SRE,136.1199951171875,2022-02-01
BRK-B,313.9599914550781,2022-02-01
BAC,46.939998626708984,2022-02-01
DISCA,27.170000076293945,2022-02-01
DISCK,26.920000076293945,2022-02-01
SIVB,605.8800048828125,2022-02-01
CVX,134.7899932861328,2022-02-01
TSLA,931.25,2022-02-01
TXT,68.87000274658203,2022-02-01
ADM,75.52999877929688,2022-02-01
WMT,140.91000366210938,2022-02-01
LW,64.58999633789062,2022-02-01
NWS,22.25,2022-02-01
SJM,138.5,2022-02-01
SYY,79.45999908447266,2022-02-01
JBHT,192.14999389648438,2022-02-01
CHD,102.1500015258789,2022-02-01
WDC,52.56999969482422,2022-02-01
RTX,90.7300033569336,2022-02-01
DFS,118.0199966430664,2022-02-01
NWL,23.459999084472656,2022-02-01
DTE,118.4800033569336,2022-02-01
CMA,95.04000091552734,2022-02-01
HPQ,37.459999084472656,2022-02-01
RF,23.600000381469727,2022-02-01
GD,212.8699951171875,2022-02-01
DGX,135.24000549316406,2022-02-01
EMN,119.83000183105469,2022-02-01
OMC,76.4000015258789,2022-02-01
CNC,76.94999694824219,2022-02-01
BBY,100.44999694824219,2022-02-01
AES,22.15999984741211,2022-02-01
LDOS,88.56999969482422,2022-02-01
ALL,118.72000122070312,2022-02-01
NWSA,22.260000228881836,2022-02-01
XOM,80.83000183105469,2022-02-01
FITB,45.939998626708984,2022-02-01
PNW,69.23999786376953,2022-02-01
HIG,72.12000274658203,2022-02-01
MO,50.63999938964844,2022-02-01
PENN,47.2400016784668,2022-02-01
GIS,68.25,2022-02-01
CFG,52.95000076293945,2022-02-01
VZ,53.20000076293945,2022-02-01
CB,199.8699951171875,2022-02-01
DVN,52.560001373291016,2022-02-01
LNC,71.16999816894531,2022-02-01
GNRC,288.0199890136719,2022-02-01
COF,150.49000549316406,2022-02-01
ZBRA,509.4800109863281,2022-02-01
EVRG,64.55000305175781,2022-02-01
ETR,110.01000213623047,2022-02-01
EOG,113.18000030517578,2022-02-01
CTLT,106.56999969482422,2022-02-01
NSC,274.3999938964844,2022-02-01
ZION,69.05000305175781,2022-02-01
CMS,63.33000183105469,2022-02-01
MRK,81.91999816894531,2022-02-01
CPB,44.150001525878906,2022-02-01
OGN,32.9900016784668,2022-02-01
GPC,134.27999877929688,2022-02-01
EMR,92.4800033569336,2022-02-01
UPS,230.69000244140625,2022-02-01
LOW,238.35000610351562,2022-02-01
ZBH,123.98999786376953,2022-02-01
HAL,31.3700008392334,2022-02-01
KIM,24.15999984741211,2022-02-01
BRO,66.66999816894531,2022-02-01
COST,508.4100036621094,2022-02-01
WEC,95.16000366210938,2022-02-01
AEP,88.3499984741211,2022-02-01
KEY,25.549999237060547,2022-02-01
GE,97.94999694824219,2022-02-01
LKQ,55.709999084472656,2022-02-01
UNP,246.7100067138672,2022-02-01
HBAN,15.5600004196167,2022-02-01
LMT,387.010009765625,2022-02-01
AEE,87.58999633789062,2022-02-01
VMC,191.39999389648438,2022-02-01
BXP,115.4800033569336,2022-02-01
C,66.55999755859375,2022-02-01
NI,28.829999923706055,2022-02-01
ANTM,438.8999938964844,2022-02-01
MAR,163.02000427246094,2022-02-01
HSY,195.72999572753906,2022-02-01
CERN,91.25,2022-02-01
NLSN,19.100000381469727,2022-02-01
SLB,39.52000045776367,2022-02-01
ES,87.97000122070312,2022-02-01
EXPD,114.44999694824219,2022-02-01
ULTA,372.32000732421875,2022-02-01
MSI,231.8000030517578,2022-02-01
LHX,209.9199981689453,2022-02-01
MU,81.44999694824219,2022-02-01
CAT,205.35000610351562,2022-02-01
MAS,63.36000061035156,2022-02-01
CINF,118.31999969482422,2022-02-01
SYF,42.880001068115234,2022-02-01
MKC,100.48999786376953,2022-02-01
OKE,61.869998931884766,2022-02-01
HRL,47.11000061035156,2022-02-01
PFE,53.06999969482422,2022-02-01
MNST,86.47000122070312,2022-02-01
PRU,113.66999816894531,2022-02-01
PKG,149.4600067138672,2022-02-01
DE,377.8800048828125,2022-02-01
AJG,156.85000610351562,2022-02-01
ALB,225.1999969482422,2022-02-01
AAP,234.8000030517578,2022-02-01
UAL,43.959999084472656,2022-02-01
K,63.22999954223633,2022-02-01
SEE,68.0,2022-02-01
SPG,147.36000061035156,2022-02-01
ATO,106.27999877929688,2022-02-01
STX,107.95999908447266,2022-02-01
MDLZ,66.68000030517578,2022-02-01
KMB,137.25999450683594,2022-02-01
TFX,309.5,2022-02-01
ODFL,306.19000244140625,2022-02-01
AFL,62.88999938964844,2022-02-01
WBA,49.75,2022-02-01
SO,67.98999786376953,2022-02-01
FRT,126.4800033569336,2022-02-01
PEG,66.26000213623047,2022-02-01
ED,86.05000305175781,2022-02-01
IVZ,22.40999984741211,2022-02-01
PG,159.74000549316406,2022-02-01
AWK,158.7100067138672,2022-02-01
NRG,38.75,2022-02-01
ORCL,81.04000091552734,2022-02-01
EXC,57.83000183105469,2022-02-01
WMB,30.520000457763672,2022-02-01
ORLY,656.989990234375,2022-02-01
CME,232.02000427246094,2022-02-01
ALK,54.810001373291016,2022-02-01
JNPR,34.040000915527344,2022-02-01
DG,209.1199951171875,2022-02-01
KO,60.560001373291016,2022-02-01
MCD,258.989990234375,2022-02-01
INTC,48.95000076293945,2022-02-01
SBUX,98.76000213623047,2022-02-01
WAB,89.81999969482422,2022-02-01
HCA,237.3300018310547,2022-02-01
WHR,208.47999572753906,2022-02-01
CHRW,104.56999969482422,2022-02-01
MCK,256.9200134277344,2022-02-01
MGM,44.15999984741211,2022-02-01
AMP,308.1000061035156,2022-02-01
SNA,210.1999969482422,2022-02-01
AON,276.80999755859375,2022-02-01
HBI,16.18000030517578,2022-02-01
MAA,205.25,2022-02-01
RJF,109.08000183105469,2022-02-01
ABC,137.66000366210938,2022-02-01
FE,41.810001373291016,2022-02-01
TPR,38.75,2022-02-01
CI,225.91000366210938,2022-02-01
URI,330.010009765625,2022-02-01
PLD,153.52000427246094,2022-02-01
CL,81.91999816894531,2022-02-01
BLK,825.9500122070312,2022-02-01
VTRS,15.069999694824219,2022-02-01
AOS,75.56999969482422,2022-02-01
CTXS,102.36000061035156,2022-02-01
MOS,43.59000015258789,2022-02-01
IEX,216.22999572753906,2022-02-01
AMCR,12.199999809265137,2022-02-01
PPL,29.520000457763672,2022-02-01
BKR,27.5,2022-02-01
KHC,36.130001068115234,2022-02-01
GL,102.75,2022-02-01
CLX,168.74000549316406,2022-02-01
IBM,135.52999877929688,2022-02-01
LRCX,589.469970703125,2022-02-01
RSG,125.9800033569336,2022-02-01
PHM,53.189998626708984,2022-02-01
IRM,46.119998931884766,2022-02-01
AAPL,174.61000061035156,2022-02-01
VFC,65.97000122070312,2022-02-01
HWM,31.6200008392334,2022-02-01
AZO,2011.5699462890625,2022-02-01
HST,17.3700008392334,2022-02-01
CNP,28.079999923706055,2022-02-01
MMM,167.42999267578125,2022-02-01
PPG,157.35000610351562,2022-02-01
WLTW,231.56,2022-02-01
NTAP,87.01000213623047,2022-02-01
NXPI,208.1999969482422,2022-02-01
CE,157.6300048828125,2022-02-01
AVY,206.38999938964844,2022-02-01
PEP,172.33999633789062,2022-02-01
IPGP,151.6699981689453,2022-02-01
RHI,114.58999633789062,2022-02-01
DAL,40.4900016784668,2022-02-01
LH,272.9599914550781,2022-02-01
FMC,111.55000305175781,2022-02-01
DRE,57.209999084472656,2022-02-01
DISH,31.729999542236328,2022-02-01
HSIC,75.94999694824219,2022-02-01
TT,167.17999267578125,2022-02-01
J,130.11000061035156,2022-02-01
KMX,110.95999908447266,2022-02-01
CDW,189.39999389648438,2022-02-01
ITW,233.0399932861328,2022-02-01
DIS,144.49000549316406,2022-02-01
FAST,56.5099983215332,2022-02-01
HD,368.70001220703125,2022-02-01
ETN,159.38999938964844,2022-02-01
JKHY,168.6999969482422,2022-02-01
BAX,84.93000030517578,2022-02-01
REG,71.68000030517578,2022-02-01
MLM,390.55999755859375,2022-02-01
BR,153.3300018310547,2022-02-01
MMC,153.52000427246094,2022-02-01
HAS,94.52999877929688,2022-02-01
MCHP,78.29000091552734,2022-02-01
NDAQ,180.1300048828125,2022-02-01
IPG,36.20000076293945,2022-02-01
LLY,248.27999877929688,2022-02-01
APD,284.6300048828125,2022-02-01
EIX,61.66999816894531,2022-02-01
DOV,169.69000244140625,2022-02-01
CSX,34.720001220703125,2022-02-01
ECL,191.66000366210938,2022-02-01
